route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
570,NMBS/SNCB,S8,Ottignies -- Louvain-la-Neuve,,100,,,
571,NMBS/SNCB,S19,Bruxelles-Luxembourg -- Louvain,,100,,,
572,NMBS/SNCB,S19,Nivelles -- Landen,,100,,,
573,NMBS/SNCB,S19,Nivelles -- Louvain,,100,,,
574,NMBS/SNCB,S19,Bruxelles-Luxembourg -- Landen,,100,,,
575,NMBS/SNCB,S19,Brussels Airport-Zaventem -- Charleroi-Central,,100,,,
576,NMBS/SNCB,S19,Bruxelles-Luxembourg -- Charleroi-Central,,100,,,
577,NMBS/SNCB,S19,Nivelles -- Charleroi-Central,,100,,,
578,NMBS/SNCB,S19,Brussels Airport-Zaventem -- Louvain,,100,,,
579,NMBS/SNCB,IC,Louvain -- Courtrai,,103,,,
58,NMBS/SNCB,BUS,Mol -- Neerpelt,,700,,,
580,NMBS/SNCB,IC,Welkenraedt -- Courtrai,,103,,,
581,NMBS/SNCB,L,Mons -- Braine-le-Comte,,100,,,
582,NMBS/SNCB,IC,Louvain -- Ostende,,103,,,
583,NMBS/SNCB,IC,Louvain -- Termonde,,103,,,
584,NMBS/SNCB,IC,Louvain -- Gand-Saint-Pierre,,103,,,
585,NMBS/SNCB,L,Malines -- Louvain,,100,,,
586,NMBS/SNCB,L,Louvain -- Gand-Saint-Pierre,,100,,,
587,NMBS/SNCB,IC,Gand-Saint-Pierre -- Termonde,,103,,,
588,NMBS/SNCB,S61,Jambes -- Charleroi-Central,,100,,,
589,NMBS/SNCB,S61,Charleroi-Central -- Tamines,,100,,,
59,NMBS/SNCB,BUS,Louvain -- Liège-Guillemins,,700,,,
590,NMBS/SNCB,S61,Charleroi-Central -- Jemeppe-sur-Sambre,,100,,,
591,NMBS/SNCB,IC,Anvers-Central -- Turnhout,,103,,,
592,NMBS/SNCB,IC,Anvers-Berchem -- Turnhout,,103,,,
593,NMBS/SNCB,IC,Lierre -- Turnhout,,103,,,
594,NMBS/SNCB,NJ,Berlin Ostbahnhof (DE) -- Bruxelles-Midi,,101,,,
595,NMBS/SNCB,NJ,BERLIN HBF (D) -- Bruxelles-Midi,,101,,,
596,NMBS/SNCB,S62,Luttre -- La Louvière-Sud,,100,,,
597,NMBS/SNCB,S62,Luttre -- Charleroi-Central,,100,,,
598,NMBS/SNCB,S62,Piéton -- Charleroi-Central,,100,,,
599,NMBS/SNCB,S62,Charleroi-Central -- La Louvière-Centre,,100,,,
6,NMBS/SNCB,L,Grammont -- Denderleeuw,,100,,,
60,NMBS/SNCB,BUS,Herentals -- Mol,,700,,,
600,NMBS/SNCB,S62,Charleroi-Central -- La Louvière-Sud,,100,,,
601,NMBS/SNCB,S62,Charleroi-Central -- Manage,,100,,,
602,NMBS/SNCB,IC,Anvers-Central -- Hamont,,103,,,
603,NMBS/SNCB,IC,Mol -- Hamont,,103,,,
604,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
605,NMBS/SNCB,IC,Anvers-Central -- Neerpelt,,103,,,
606,NMBS/SNCB,IC,Anvers-Central -- Lierre,,103,,,
607,NMBS/SNCB,IC,Mol -- Neerpelt,,103,,,
608,NMBS/SNCB,L,Binche -- Braine-le-Comte,,100,,,
609,NMBS/SNCB,L,La Louvière-Sud -- Braine-le-Comte,,100,,,
61,NMBS/SNCB,BUS,Anvers-Central -- Saint-Nicolas,,700,,,
610,NMBS/SNCB,L,Charleroi-Central -- La Louvière-Centre,,100,,,
611,NMBS/SNCB,L,Charleroi-Central -- La Louvière-Sud,,100,,,
612,NMBS/SNCB,L,Luttre -- Charleroi-Central,,100,,,
613,NMBS/SNCB,IC,Welkenraedt -- Ostende,,103,,,
614,NMBS/SNCB,L,Hasselt -- Mol,,100,,,
615,NMBS/SNCB,L,Quévy -- La Louvière-Sud,,100,,,
616,NMBS/SNCB,L,Charleroi-Central -- Quévy,,100,,,
617,NMBS/SNCB,L,Mons -- La Louvière-Sud,,100,,,
618,NMBS/SNCB,S61,Ottignies -- Jambes,,100,,,
619,NMBS/SNCB,S61,Ottignies -- Tamines,,100,,,
62,NMBS/SNCB,BUS,Louvain -- Landen,,700,,,
620,NMBS/SNCB,S61,Wavre -- Jambes,,100,,,
621,NMBS/SNCB,S61,Jambes -- Fleurus,,100,,,
622,NMBS/SNCB,S61,Wavre -- Namur,,100,,,
623,NMBS/SNCB,S61,Charleroi-Central -- Fleurus,,100,,,
624,NMBS/SNCB,S61,Namur -- Jambes,,100,,,
625,NMBS/SNCB,S61,Namur -- Charleroi-Central,,100,,,
626,NMBS/SNCB,S61,Ottignies -- Namur,,100,,,
627,NMBS/SNCB,S61,Namur -- Fleurus,,100,,,
628,NMBS/SNCB,S61,Ottignies -- Charleroi-Central,,100,,,
629,NMBS/SNCB,S61,Wavre -- Charleroi-Central,,100,,,
63,NMBS/SNCB,BUS,Mol -- Hamont,,700,,,
630,NMBS/SNCB,S61,Ottignies -- Wavre,,100,,,
631,NMBS/SNCB,IC,Luxembourg (LU) -- Arlon,,103,,,
632,NMBS/SNCB,L,Mons -- Quiévrain,,100,,,
633,NMBS/SNCB,L,Mons -- Saint-Ghislain,,100,,,
634,NMBS/SNCB,L,Luxembourg (LU) -- Athus,,100,,,
635,NMBS/SNCB,L,Rodange (LU) -- Athus,,100,,,
636,NMBS/SNCB,L,Mons -- Tournai,,100,,,
637,NMBS/SNCB,L,Mouscron -- Grammont,,100,,,
638,NMBS/SNCB,L,Quévy -- Grammont,,100,,,
639,NMBS/SNCB,L,Mons -- Grammont,,100,,,
64,NMBS/SNCB,BUS,Louvain -- Waremme,,700,,,
640,NMBS/SNCB,L,Jurbise -- Grammont,,100,,,
641,NMBS/SNCB,L,Tournai -- Grammont,,100,,,
642,NMBS/SNCB,L,Quévy -- Ath,,100,,,
643,NMBS/SNCB,L,Mons -- Mouscron,,100,,,
644,NMBS/SNCB,L,Mouscron -- Ath,,100,,,
645,NMBS/SNCB,L,Ath -- Grammont,,100,,,
646,NMBS/SNCB,L,Saint-Ghislain -- Tournai,,100,,,
647,NMBS/SNCB,L,Liège-Guillemins -- Huy,,100,,,
648,NMBS/SNCB,L,Flémalle-Haute -- Huy,,100,,,
649,NMBS/SNCB,L,Liège-Guillemins -- Namur,,100,,,
65,NMBS/SNCB,BUS,Louvain -- Ans,,700,,,
650,NMBS/SNCB,L,Flémalle-Haute -- Namur,,100,,,
651,NMBS/SNCB,OTC,Paris Nord (FR) -- Mons,,103,,,
652,NMBS/SNCB,OTC,Paris Nord (FR) -- Bruxelles-Midi,,103,,,
653,NMBS/SNCB,S41,Aachen Hbf (DE) -- Liège-Guillemins,,100,,,
654,NMBS/SNCB,S41,Aachen Hbf (DE) -- Welkenraedt,,100,,,
655,NMBS/SNCB,S41,Aachen Hbf (DE) -- Liège-Saint-Lambert,,100,,,
656,NMBS/SNCB,S41,Liège-Saint-Lambert -- Welkenraedt,,100,,,
657,NMBS/SNCB,S41,Liège-Guillemins -- Welkenraedt,,100,,,
658,NMBS/SNCB,S41,Liège-Guillemins -- Liège-Saint-Lambert,,100,,,
659,NMBS/SNCB,IC,Eupen -- Ostende,,103,,,
66,NMBS/SNCB,BUS,Anvers-Central -- Puurs,,700,,,
660,NMBS/SNCB,IC,Eupen -- Bruges,,103,,,
661,NMBS/SNCB,S41,Aachen Hbf (DE) -- Verviers-Central,,100,,,
662,NMBS/SNCB,IC,Welkenraedt -- Bruges,,103,,,
663,NMBS/SNCB,S44,Landen -- Liège-Guillemins,,100,,,
664,NMBS/SNCB,S44,Landen -- Visé,,100,,,
665,NMBS/SNCB,S44,Liège-Guillemins -- Waremme,,100,,,
666,NMBS/SNCB,S44,Liège-Guillemins -- Visé,,100,,,
667,NMBS/SNCB,S42,Liège-Guillemins -- Flémalle-Haute,,100,,,
